image,label,split
train/000001.jpg,031106,train
train/000002.jpg,406468,train
train/000003.jpg,247991,train
train/000004.jpg,278165,train
train/000005.jpg,495021,train
train/000006.jpg,015382,train
train/000007.jpg,048328,train
train/000008.jpg,626267,train
train/000009.jpg,898356,train
train/000010.jpg,509133,train
train/000011.jpg,746020,train
train/000012.jpg,965873,train
train/000013.jpg,728484,train
train/000014.jpg,114075,train
train/000015.jpg,627374,train
train/000016.jpg,327001,train
train/000017.jpg,436593,train
train/000018.jpg,871203,train
train/000019.jpg,652175,train
train/000020.jpg,890764,train
train/000021.jpg,125433,train
train/000022.jpg,075331,train
train/000023.jpg,082138,train
train/000024.jpg,502118,train
train/000025.jpg,239977,train
train/000026.jpg,615416,train
train/000027.jpg,325453,train
train/000028.jpg,591284,train
train/000029.jpg,588089,train
train/000030.jpg,853455,train
train/000031.jpg,263947,train
train/000032.jpg,162183,train
train/000033.jpg,997083,train
train/000034.jpg,503594,train
train/000035.jpg,034832,train
train/000036.jpg,900746,train
train/000037.jpg,009651,train
train/000038.jpg,781910,train
train/000039.jpg,283774,train
train/000040.jpg,316865,train
train/000041.jpg,639346,train
train/000042.jpg,641239,train
train/000043.jpg,307969,train
train/000044.jpg,953225,train
train/000045.jpg,297347,train
train/000046.jpg,624759,train
train/000047.jpg,086658,train
train/000048.jpg,913854,train
train/000049.jpg,460388,train
train/000050.jpg,379856,train
train/000051.jpg,846585,train
train/000052.jpg,760217,train
train/000053.jpg,024956,train
train/000054.jpg,314177,train
train/000055.jpg,292538,train
train/000056.jpg,085821,train
train/000057.jpg,845900,train
train/000058.jpg,935848,train
train/000059.jpg,541318,train
train/000060.jpg,491994,train
train/000061.jpg,836737,train
train/000062.jpg,590623,train
train/000063.jpg,056974,train
train/000064.jpg,111902,train
train/000065.jpg,943608,train
train/000066.jpg,991331,train
train/000067.jpg,060781,train
train/000068.jpg,571359,train
train/000069.jpg,768196,train
train/000070.jpg,794375,train
train/000071.jpg,155551,train
train/000072.jpg,760414,train
train/000073.jpg,670151,train
train/000074.jpg,803770,train
train/000075.jpg,708826,train
train/000076.jpg,696037,train
train/000077.jpg,891944,train
train/000078.jpg,305889,train
train/000079.jpg,860084,train
train/000080.jpg,024338,train
train/000081.jpg,974143,train
train/000082.jpg,642069,train
train/000083.jpg,085469,train
train/000084.jpg,971738,train
train/000085.jpg,795339,train
train/000086.jpg,407226,train
train/000087.jpg,479260,train
train/000088.jpg,144558,train
train/000089.jpg,176122,train
train/000090.jpg,053470,train
train/000091.jpg,769816,train
train/000092.jpg,382706,train
train/000093.jpg,877521,train
train/000094.jpg,538015,train
train/000095.jpg,696570,train
train/000096.jpg,126966,train
train/000097.jpg,062077,train
train/000098.jpg,692278,train
train/000099.jpg,065295,train
train/000100.jpg,602382,train
train/000101.jpg,933632,train
train/000102.jpg,098062,train
train/000103.jpg,325978,train
train/000104.jpg,567413,train
train/000105.jpg,631578,train
train/000106.jpg,705139,train
train/000107.jpg,201705,train
train/000108.jpg,964266,train
train/000109.jpg,143831,train
train/000110.jpg,167704,train
train/000111.jpg,876604,train
train/000112.jpg,399036,train
train/000113.jpg,429243,train
train/000114.jpg,161808,train
train/000115.jpg,993696,train
train/000116.jpg,780014,train
train/000117.jpg,959162,train
train/000118.jpg,320111,train
train/000119.jpg,205481,train
train/000120.jpg,647249,train
train/000121.jpg,627743,train
train/000122.jpg,484145,train
train/000123.jpg,222249,train
train/000124.jpg,627104,train
train/000125.jpg,764981,train
train/000126.jpg,653440,train
train/000127.jpg,666130,train
train/000128.jpg,331439,train
train/000129.jpg,098365,train
train/000130.jpg,038088,train
train/000131.jpg,083321,train
train/000132.jpg,731411,train
train/000133.jpg,621118,train
train/000134.jpg,573548,train
train/000135.jpg,515255,train
train/000136.jpg,935817,train
train/000137.jpg,359003,train
train/000138.jpg,692388,train
train/000139.jpg,602666,train
train/000140.jpg,460548,train
train/000141.jpg,200887,train
train/000142.jpg,142039,train
train/000143.jpg,334904,train
train/000144.jpg,658204,train
train/000145.jpg,819298,train
train/000146.jpg,989001,train
train/000147.jpg,738891,train
train/000148.jpg,428579,train
train/000149.jpg,357835,train
train/000150.jpg,505896,train
train/000151.jpg,842950,train
train/000152.jpg,971568,train
train/000153.jpg,880193,train
train/000154.jpg,774341,train
train/000155.jpg,955369,train
train/000156.jpg,354987,train
train/000157.jpg,038966,train
train/000158.jpg,155007,train
train/000159.jpg,348697,train
train/000160.jpg,126298,train
train/000161.jpg,411324,train
train/000162.jpg,981455,train
train/000163.jpg,134983,train
train/000164.jpg,196820,train
train/000165.jpg,094824,train
train/000166.jpg,526770,train
train/000167.jpg,949765,train
train/000168.jpg,302281,train
train/000169.jpg,415141,train
train/000170.jpg,285779,train
train/000171.jpg,693078,train
